"temp_C","mass_mg"
277.484,82.17
277.938,82.0125
278.38,81.8475
278.832,81.6846
279.282,81.5204
279.733,81.3549
280.175,81.1837
280.626,81.0119
281.082,80.8372
281.535,80.6604
281.982,80.4741
282.427,80.289
282.886,80.1021
283.344,79.9134
283.79,79.7151
284.239,79.5192
284.698,79.3225
285.155,79.1246
285.602,78.9205
286.054,78.7174
286.507,78.5123
286.962,78.3052
287.41,78.0896
287.86,77.8735
288.322,77.6543
288.775,77.4321
289.234,77.1974
289.69,76.9665
290.139,76.7346
290.599,76.5013
291.047,76.2602
291.51,76.0219
291.965,75.7828
292.423,75.5422
292.879,75.2954
293.334,75.0484
293.788,74.7997
294.25,74.5498
294.711,74.2916
295.165,74.0353
295.615,73.7781
296.071,73.5199
296.529,73.2577
297.001,72.9978
297.454,72.7383
297.907,72.4786
298.361,72.2174
298.82,71.9553
299.287,71.6919
299.743,71.4276
300.199,71.1603
300.655,70.894
301.117,70.6271
301.571,70.3595
302.03,70.0904
302.488,69.8228
302.941,69.5558
303.403,69.2892
303.857,69.0242
304.316,68.7596
304.769,68.4957
305.23,68.2322
305.688,67.9707
306.143,67.7078
306.601,67.4442
307.061,67.1805
307.515,66.9154
307.976,66.6502
308.437,66.3855
308.887,66.1211
309.342,65.8572
309.798,65.5946
310.26,65.3333
310.712,65.0729
311.172,64.8175
311.631,64.5613
312.084,64.3057
312.555,64.0503
313.01,63.7981
313.454,63.5447
313.909,63.2914
314.365,63.0383
314.827,62.7854
315.284,62.5323
315.738,62.2793
316.197,62.0269
316.65,61.7748
317.106,61.5239
317.56,61.2737
318.017,61.0236
318.475,60.7734
318.935,60.5246
319.398,60.2747
319.854,60.0243
320.311,59.7734
320.77,59.522
321.222,59.272
321.679,59.023
322.139,58.7747
322.603,58.5285
323.045,58.2815
323.51,58.0343
323.971,57.7868
324.424,57.5391
324.877,57.2905
325.328,57.0419
325.786,56.7934
326.246,56.5424
326.701,56.2926
327.158,56.0438
327.614,55.7954
328.078,55.5486
328.535,55.302
328.985,55.0558
329.442,54.8097
329.892,54.5638
330.363,54.3159
330.817,54.0672
331.274,53.8182
331.72,53.5673
332.188,53.319
332.641,53.0723
333.104,52.8265
333.557,52.5847
334.016,52.3427
334.47,52.1017
334.931,51.8612
335.389,51.6235
335.847,51.3842
336.309,51.1449
336.768,50.9059
337.232,50.6677
337.695,50.4304
338.155,50.1943
338.623,49.9594
339.092,49.7293
339.556,49.4993
340.028,49.2712
340.497,49.0445
340.968,48.8246
341.441,48.6029
341.915,48.3815
342.398,48.161
342.897,47.945
343.405,47.7289
343.922,47.5148
344.472,47.3025
345,47.0968
345.507,46.8907
346.002,46.686
346.492,46.4825
346.988,46.2868
347.476,46.0887
347.964,45.8913
348.44,45.6955
348.916,45.5011
349.387,45.3119
349.862,45.1222
350.324,44.9336
350.791,44.746
351.243,44.5653
351.718,44.3842
352.175,44.2051
352.631,44.0276
353.08,43.858
353.52,43.6877
353.969,43.5193
354.427,43.3524
354.864,43.1941
355.304,43.0344
355.75,42.8765
356.197,42.7203
356.62,42.5726
357.059,42.4245
357.49,42.2784
357.933,42.134
358.346,41.9991
358.778,41.8625
359.205,41.7275
359.633,41.5939
360.056,41.4677
360.478,41.3403
360.892,41.2143
361.306,41.0897
361.727,40.9719
362.145,40.8533
362.562,40.7365
362.968,40.6215
363.387,40.5154
363.8,40.4091
364.211,40.3049
364.616,40.2026
365.024,40.1099
365.44,40.0141
365.837,39.9184
366.254,39.8232
366.657,39.7331
367.059,39.6426
367.471,39.5535
367.878,39.4659
368.284,39.3839
368.683,39.3016
369.087,39.2204
369.485,39.1399
369.889,39.0651
370.294,38.9882
370.694,38.9116
371.102,38.8355
371.504,38.7618
371.906,38.6881
372.308,38.6151
372.708,38.5429
373.101,38.4761
373.502,38.4094
373.894,38.3438
374.301,38.2787
374.696,38.219
375.092,38.1573
375.482,38.0958
375.881,38.0349
376.287,37.9773
376.679,37.9203
377.07,37.8639
377.472,37.8078
377.874,37.7557
378.266,37.7014
378.652,37.6466
379.057,37.5916
379.449,37.5362
379.847,37.481
380.242,37.4263
380.636,37.3719
381.029,37.3176
381.429,37.2632
381.835,37.2088
382.23,37.1546
382.63,37.1019
383.023,37.0494
383.417,36.9975
383.809,36.9458
384.2,36.8969
384.603,36.8481
385.01,36.7999
385.4,36.7523
385.793,36.7068
386.194,36.6601
386.594,36.6133
386.994,36.5665
387.382,36.5199
387.783,36.4722
388.179,36.4244
388.589,36.3764
388.983,36.3285
389.39,36.2805
389.786,36.2333
390.185,36.1862
390.584,36.1391
390.986,36.0943
391.381,36.0492
391.783,36.0038
392.175,35.9583
392.583,35.9141
392.991,35.8696
393.39,35.8253
393.791,35.781
394.19,35.7364
394.595,35.6911
395.001,35.6448
395.395,35.598
395.794,35.5495
396.201,35.502
396.6,35.455
397.002,35.4081
397.41,35.3604
397.807,35.3129
398.211,35.2658
398.611,35.2191
399.017,35.174
399.424,35.129
399.829,35.0841
400.234,35.0391
400.634,34.996
401.034,34.9518
401.438,34.9069
401.84,34.8618
402.25,34.8155
402.654,34.7693
403.06,34.7229
403.462,34.6766
403.872,34.6306
404.274,34.585
404.672,34.5395
405.081,34.4941
405.486,34.4502
405.889,34.4054
406.295,34.3605
406.699,34.3155
407.1,34.2707
407.511,34.2261
407.917,34.1815
408.322,34.1366
408.725,34.0915
409.126,34.0461
409.539,34.0006
409.941,33.9551
410.351,33.9093
410.752,33.8648
411.17,33.8209
411.576,33.7771
411.977,33.7352
412.387,33.6921
412.796,33.6485
413.204,33.605
413.607,33.5619
414.017,33.5195
414.423,33.4777
414.824,33.4361
415.235,33.3946
415.64,33.3539
416.055,33.3111
416.464,33.2667
416.868,33.2215
417.272,33.173
417.683,33.1255
418.092,33.0778
418.508,33.0303
418.913,32.9831
419.322,32.9381
419.731,32.8942
420.148,32.851
420.559,32.8114
420.957,32.769
421.375,32.7252
421.785,32.6806
422.203,32.6333
422.608,32.5861
423.019,32.5387
423.433,32.4913
423.846,32.4423
424.253,32.3951
424.672,32.3484
425.076,32.3018
425.496,32.2573
425.908,32.2114
426.324,32.1648
426.738,32.1178
427.149,32.0704
427.556,32.0232
